"","word_target","word","relation","n"
"1","Vimes","thought","nsubj",56
"2","Vimes","looked","nsubj",37
"3","Vimes","was","nsubj",29
"4","Vimes","stared","nsubj",27
"5","Vimes","felt","nsubj",25
"6","Carrot","looked","nsubj",22
"7","Carrot","was","nsubj",20
"8","Vimes","had","nsubj",14
"9","Carrot","turned","nsubj",13
"10","Vimes","shouted","nsubj",13
"11","Carrot","went","nsubj",12
"12","Carrot","began","nsubj",11
"13","Nobby","was","nsubj",11
"14","Vimes","went","nsubj",11
"15","Vimes","began","nsubj",10
"16","Vimes","sat","nsubj",10
"17","Vimes","stood","nsubj",10
"18","Vimes","turned","nsubj",10
"19","Angua","was","nsubj",9
"20","Vimes","put","nsubj",9
"21","Vimes","squinted","nsubj",9
"22","Angua","looked","nsubj",8
"23","Angua","thought","nsubj",8
"24","Vimes","nodded","nsubj",8
"25","Vimes","picked","nsubj",8
"26","Vimes","pulled","nsubj",8
"27","Vimes","realised","nsubj",8
"28","Vimes","stopped","nsubj",8
"29","Vimes","tried","nsubj",8
"30","Vimes","wondered","nsubj",8
"31","Carrot","had","nsubj",7
"32","Carrot","stared","nsubj",7
"33","Carrot","stood","nsubj",7
"34","Carrot","took","nsubj",7
"35","Vimes","blinked","nsubj",7
"36","Vimes","found","nsubj",7
"37","Vimes","is","nsubj",7
"38","Vimes","knew","nsubj",7
"39","Vimes","managed","nsubj",7
"40","Vimes","ran","nsubj",7
"41","Vimes","saw","nsubj",7
"42","Vimes","told","nsubj",7
"43","Carrot","gave","nsubj",6
"44","Carrot","got","nsubj",6
"45","Carrot","picked","nsubj",6
"46","Carrot","saluted","nsubj",6
"47","Carrot","says","nsubj",6
"48","Carrot","walked","nsubj",6
"49","Vimes","gave","nsubj",6
"50","Vimes","reached","nsubj",6
"51","Vimes","says","nsubj",6
"52","Vimes","shook","nsubj",6
"53","Vimes","sighed","nsubj",6
"54","Vimes","watched","nsubj",6
"55","Angua","glanced","nsubj",5
"56","Carrot","leaned","nsubj",5
"57","Carrot","shook","nsubj",5
"58","Cuddy","looked","nsubj",5
"59","Gaspode","looked","nsubj",5
"60","Nobby","looked","nsubj",5
"61","Vimes","caught","nsubj",5
"62","Vimes","grabbed","nsubj",5
"63","Vimes","know","nsubj",5
"64","Vimes","opened","nsubj",5
"65","Vimes","paused","nsubj",5
"66","Vimes","shrugged","nsubj",5
"67","Vimes","smiled","nsubj",5
"68","Angua","began","nsubj",4
"69","Angua","stopped","nsubj",4
"70","Carrot","been","nsubj",4
"71","Carrot","came","nsubj",4
"72","Carrot","cleared","nsubj",4
"73","Carrot","hesitated","nsubj",4
"74","Carrot","is","nsubj",4
"75","Carrot","noticed","nsubj",4
"76","Carrot","reached","nsubj",4
"77","Carrot","sat","nsubj",4
"78","Cuddy","was","nsubj",4
"79","Nobby","gave","nsubj",4
"80","Nobby","is","nsubj",4
"81","Nobby","shouted","nsubj",4
"82","Vimes","been","nsubj",4
"83","Vimes","glanced","nsubj",4
"84","Vimes","gone","nsubj",4
"85","Vimes","got","nsubj",4
"86","Vimes","handed","nsubj",4
"87","Vimes","hesitated","nsubj",4
"88","Vimes","noticed","nsubj",4
"89","Vimes","read","nsubj",4
"90","Vimes","realized","nsubj",4
"91","Vimes","remembered","nsubj",4
"92","Vimes","rolled","nsubj",4
"93","Vimes","saluted","nsubj",4
"94","Vimes","see","nsubj",4
"95","Vimes","seen","nsubj",4
"96","Vimes","stepped","nsubj",4
"97","Vimes","took","nsubj",4
"98","Vimes","walked","nsubj",4
"99","Vimes","waved","nsubj",4
"100","Angua","gave","nsubj",3
"101","Angua","picked","nsubj",3
"102","Angua","sat","nsubj",3
"103","Angua","smiled","nsubj",3
"104","Angua","tried","nsubj",3
"105","Angua","turned","nsubj",3
"106","Carrot","drew","nsubj",3
"107","Carrot","glanced","nsubj",3
"108","Carrot","nodded","nsubj",3
"109","Carrot","patted","nsubj",3
"110","Carrot","pointed","nsubj",3
"111","Carrot","prodded","nsubj",3
"112","Carrot","raised","nsubj",3
"113","Carrot","staring","nsubj",3
"114","Carrot","stepped","nsubj",3
"115","Carrot","stopped","nsubj",3
"116","Carrot","translated","nsubj",3
"117","Carrot","tried","nsubj",3
"118","Cuddy","began","nsubj",3
"119","Cuddy","peered","nsubj",3
"120","Cuddy","thought","nsubj",3
"121","Gaspode","glanced","nsubj",3
"122","Gaspode","sniffed","nsubj",3
"123","Nobby","began","nsubj",3
"124","Nobby","repeated","nsubj",3
"125","Nobby","went","nsubj",3
"126","Vimes","called","nsubj",3
"127","Vimes","considered","nsubj",3
"128","Vimes","coughed","nsubj",3
"129","Vimes","do","nsubj",3
"130","Vimes","groaned","nsubj",3
"131","Vimes","hated","nsubj",3
"132","Vimes","knocked","nsubj",3
"133","Vimes","leaned","nsubj",3
"134","Vimes","let","nsubj",3
"135","Vimes","made","nsubj",3
"136","Vimes","peered","nsubj",3
"137","Vimes","removed","nsubj",3
"138","Vimes","scratched","nsubj",3
"139","Vimes","slid","nsubj",3
"140","Vimes","snapped","nsubj",3
"141","Vimes","staggered","nsubj",3
"142","Vimes","started","nsubj",3
"143","Vimes","worked","nsubj",3
"144","Angua","\'s","nsubj",2
"145","Angua","asked","nsubj",2
"146","Angua","bounded","nsubj",2
"147","Angua","entered","nsubj",2
"148","Angua","feel","nsubj",2
"149","Angua","felt","nsubj",2
"150","Angua","headed","nsubj",2
"151","Angua","hesitated","nsubj",2
"152","Angua","leaned","nsubj",2
"153","Angua","leapt","nsubj",2
"154","Angua","peered","nsubj",2
"155","Angua","saw","nsubj",2
"156","Angua","shrugged","nsubj",2
"157","Angua","slunk","nsubj",2
"158","Angua","trotted","nsubj",2
"159","Angua","watched","nsubj",2
"160","Carrot","added","nsubj",2
"161","Carrot","appeared","nsubj",2
"162","Carrot","arrived","nsubj",2
"163","Carrot","brought","nsubj",2
"164","Carrot","deposited","nsubj",2
"165","Carrot","do","nsubj",2
"166","Carrot","emerged","nsubj",2
"167","Carrot","followed","nsubj",2
"168","Carrot","found","nsubj",2
"169","Carrot","gone","nsubj",2
"170","Carrot","grabbed","nsubj",2
"171","Carrot","grasped","nsubj",2
"172","Carrot","heard","nsubj",2
"173","Carrot","listened","nsubj",2
"174","Carrot","look","nsubj",2
"175","Carrot","lowered","nsubj",2
"176","Carrot","moved","nsubj",2
"177","Carrot","opened","nsubj",2
"178","Carrot","peered","nsubj",2
"179","Carrot","produced","nsubj",2
"180","Carrot","pulled","nsubj",2
"181","Carrot","ran","nsubj",2
"182","Carrot","read","nsubj",2
"183","Carrot","removed","nsubj",2
"184","Carrot","repeated","nsubj",2
"185","Carrot","see","nsubj",2
"186","Carrot","sighed","nsubj",2
"187","Carrot","smiled","nsubj",2
"188","Carrot","started","nsubj",2
"189","Carrot","straightened","nsubj",2
"190","Carrot","strode","nsubj",2
"191","Carrot","stuck","nsubj",2
"192","Carrot","take","nsubj",2
"193","Carrot","unfolded","nsubj",2
"194","Carrot","waved","nsubj",2
"195","Carrot","wrote","nsubj",2
"196","Cuddy","coughed","nsubj",2
"197","Cuddy","shivered","nsubj",2
"198","Cuddy","stared","nsubj",2
"199","Cuddy","stopped","nsubj",2
"200","Cuddy","took","nsubj",2
"201","Gaspode","had","nsubj",2
"202","Gaspode","rolled","nsubj",2
"203","Gaspode","scratched","nsubj",2
"204","Gaspode","shut","nsubj",2
"205","Gaspode","sitting","nsubj",2
"206","Gaspode","was","nsubj",2
"207","Gaspode","whimpered","nsubj",2
"208","Nobby","added","nsubj",2
"209","Nobby","agreed","nsubj",2
"210","Nobby","coughed","nsubj",2
"211","Nobby","edged","nsubj",2
"212","Nobby","got","nsubj",2
"213","Nobby","have","nsubj",2
"214","Nobby","pulled","nsubj",2
"215","Nobby","realized","nsubj",2
"216","Nobby","says","nsubj",2
"217","Nobby","volunteered","nsubj",2
"218","Vimes","added","nsubj",2
"219","Vimes","arrived","nsubj",2
"220","Vimes","be","nsubj",2
"221","Vimes","believed","nsubj",2
"222","Vimes","came","nsubj",2
"223","Vimes","climbed","nsubj",2
"224","Vimes","did","nsubj",2
"225","Vimes","disliked","nsubj",2
"226","Vimes","doing","nsubj",2
"227","Vimes","dragged","nsubj",2
"228","Vimes","examined","nsubj",2
"229","Vimes","forced","nsubj",2
"230","Vimes","fought","nsubj",2
"231","Vimes","fumbled","nsubj",2
"232","Vimes","gaped","nsubj",2
"233","Vimes","given","nsubj",2
"234","Vimes","glared","nsubj",2
"235","Vimes","gripped","nsubj",2
"236","Vimes","grown","nsubj",2
"237","Vimes","heard","nsubj",2
"238","Vimes","hissed","nsubj",2
"239","Vimes","hit","nsubj",2
"240","Vimes","imagined","nsubj",2
"241","Vimes","kept","nsubj",2
"242","Vimes","kicked","nsubj",2
"243","Vimes","laid","nsubj",2
"244","Vimes","landed","nsubj",2
"245","Vimes","lay","nsubj",2
"246","Vimes","learned","nsubj",2
"247","Vimes","listened","nsubj",2
"248","Vimes","lowered","nsubj",2
"249","Vimes","muttered","nsubj",2
"250","Vimes","patted","nsubj",2
"251","Vimes","pointed","nsubj",2
"252","Vimes","pushed","nsubj",2
"253","Vimes","raised","nsubj",2
"254","Vimes","recognized","nsubj",2
"255","Vimes","rose","nsubj",2
"256","Vimes","rubbed","nsubj",2
"257","Vimes","say","nsubj",2
"258","Vimes","shared","nsubj",2
"259","Vimes","slapped","nsubj",2
"260","Vimes","snatched","nsubj",2
"261","Vimes","snorted","nsubj",2
"262","Vimes","straightened","nsubj",2
"263","Vimes","strolled","nsubj",2
"264","Vimes","stuck","nsubj",2
"265","Vimes","suspected","nsubj",2
"266","Vimes","threw","nsubj",2
"267","Vimes","trying","nsubj",2
"268","Vimes","understood","nsubj",2
"269","Vimes","waggled","nsubj",2
"270","Vimes","wandered","nsubj",2
"271","Vimes","warned","nsubj",2
"272","Vimes","whispered","nsubj",2
"273","Angua","adjusting","nsubj",1
"274","Angua","bandaged","nsubj",1
"275","Angua","bared","nsubj",1
"276","Angua","been","nsubj",1
"277","Angua","breathe","nsubj",1
"278","Angua","brushed","nsubj",1
"279","Angua","bunched","nsubj",1
"280","Angua","called","nsubj",1
"281","Angua","changed","nsubj",1
"282","Angua","clinging","nsubj",1
"283","Angua","deal","nsubj",1
"284","Angua","emerged","nsubj",1
"285","Angua","entertained","nsubj",1
"286","Angua","fanded","nsubj",1
"287","Angua","flourished","nsubj",1
"288","Angua","frowned","nsubj",1
"289","Angua","froze","nsubj",1
"290","Angua","galloped","nsubj",1
"291","Angua","getting","nsubj",1
"292","Angua","given","nsubj",1
"293","Angua","growled","nsubj",1
"294","Angua","had","nsubj",1
"295","Angua","have","nsubj",1
"296","Angua","hazarded","nsubj",1
"297","Angua","howled","nsubj",1
"298","Angua","is","nsubj",1
"299","Angua","knelt","nsubj",1
"300","Angua","knew","nsubj",1
"301","Angua","knows","nsubj",1
"302","Angua","landed","nsubj",1
"303","Angua","laughed","nsubj",1
"304","Angua","learned","nsubj",1
"305","Angua","lied","nsubj",1
"306","Angua","liked","nsubj",1
"307","Angua","listened","nsubj",1
"308","Angua","lowered","nsubj",1
"309","Angua","mastered","nsubj",1
"310","Angua","mouthed","nsubj",1
"311","Angua","moved","nsubj",1
"312","Angua","murmured","nsubj",1
"313","Angua","need","nsubj",1
"314","Angua","noted","nsubj",1
"315","Angua","nudged","nsubj",1
"316","Angua","padding","nsubj",1
"317","Angua","paused","nsubj",1
"318","Angua","pick","nsubj",1
"319","Angua","pointed","nsubj",1
"320","Angua","pulled","nsubj",1
"321","Angua","raised","nsubj",1
"322","Angua","ran","nsubj",1
"323","Angua","reached","nsubj",1
"324","Angua","reading","nsubj",1
"325","Angua","recognized","nsubj",1
"326","Angua","removed","nsubj",1
"327","Angua","risked","nsubj",1
"328","Angua","roll","nsubj",1
"329","Angua","rolled","nsubj",1
"330","Angua","scanned","nsubj",1
"331","Angua","scraped","nsubj",1
"332","Angua","see","nsubj",1
"333","Angua","seen","nsubj",1
"334","Angua","selected","nsubj",1
"335","Angua","sigh","nsubj",1
"336","Angua","sitting","nsubj",1
"337","Angua","slinking","nsubj",1
"338","Angua","smelled","nsubj",1
"339","Angua","snapped","nsubj",1
"340","Angua","sniffed","nsubj",1
"341","Angua","sprang","nsubj",1
"342","Angua","stared","nsubj",1
"343","Angua","stood","nsubj",1
"344","Angua","stretched","nsubj",1
"345","Angua","subsided","nsubj",1
"346","Angua","suggested","nsubj",1
"347","Angua","thinking","nsubj",1
"348","Angua","told","nsubj",1
"349","Angua","trust","nsubj",1
"350","Angua","wagged","nsubj",1
"351","Angua","waited","nsubj",1
"352","Angua","wants","nsubj",1
"353","Angua","waved","nsubj",1
"354","Angua","went","nsubj",1
"355","Angua","whined","nsubj",1
"356","Angua","woke","nsubj",1
"357","Angua","wondered","nsubj",1
"358","Angua","wrinkled","nsubj",1
"359","Angua","yawned","nsubj",1
"360","Carrot","acknowledged","nsubj",1
"361","Carrot","asked","nsubj",1
"362","Carrot","awoke","nsubj",1
"363","Carrot","became","nsubj",1
"364","Carrot","believe","nsubj",1
"365","Carrot","blushed","nsubj",1
"366","Carrot","bounced","nsubj",1
"367","Carrot","bouncing","nsubj",1
"368","Carrot","brandished","nsubj",1
"369","Carrot","brightened","nsubj",1
"370","Carrot","brings","nsubj",1
"371","Carrot","brushed","nsubj",1
"372","Carrot","burst","nsubj",1
"373","Carrot","busied","nsubj",1
"374","Carrot","called","nsubj",1
"375","Carrot","can","nsubj",1
"376","Carrot","caught","nsubj",1
"377","Carrot","caused","nsubj",1
"378","Carrot","climbed","nsubj",1
"379","Carrot","counted","nsubj",1
"380","Carrot","cupped","nsubj",1
"381","Carrot","demanded","nsubj",1
"382","Carrot","disappeared","nsubj",1
"383","Carrot","doing","nsubj",1
"384","Carrot","entered","nsubj",1
"385","Carrot","erupted","nsubj",1
"386","Carrot","examined","nsubj",1
"387","Carrot","expecting","nsubj",1
"388","Carrot","feel","nsubj",1
"389","Carrot","fielded","nsubj",1
"390","Carrot","fingered","nsubj",1
"391","Carrot","fished","nsubj",1
"392","Carrot","fitted","nsubj",1
"393","Carrot","folded","nsubj",1
"394","Carrot","frowned","nsubj",1
"395","Carrot","fumbled","nsubj",1
"396","Carrot","given","nsubj",1
"397","Carrot","go","nsubj",1
"398","Carrot","gulped","nsubj",1
"399","Carrot","hammered","nsubj",1
"400","Carrot","has","nsubj",1
"401","Carrot","hauled","nsubj",1
"402","Carrot","hauling","nsubj",1
"403","Carrot","have","nsubj",1
"404","Carrot","hawked","nsubj",1
"405","Carrot","hold","nsubj",1
"406","Carrot","hung","nsubj",1
"407","Carrot","ignored","nsubj",1
"408","Carrot","jollied","nsubj",1
"409","Carrot","keeps","nsubj",1
"410","Carrot","kicked","nsubj",1
"411","Carrot","knew","nsubj",1
"412","Carrot","knocked","nsubj",1
"413","Carrot","laid","nsubj",1
"414","Carrot","laughed","nsubj",1
"415","Carrot","leapt","nsubj",1
"416","Carrot","learned","nsubj",1
"417","Carrot","let","nsubj",1
"418","Carrot","lifted","nsubj",1
"419","Carrot","looking","nsubj",1
"420","Carrot","macerated","nsubj",1
"421","Carrot","made","nsubj",1
"422","Carrot","marched","nsubj",1
"423","Carrot","mounted","nsubj",1
"424","Carrot","move","nsubj",1
"425","Carrot","nudged","nsubj",1
"426","Carrot","observed","nsubj",1
"427","Carrot","opening","nsubj",1
"428","Carrot","organizing","nsubj",1
"429","Carrot","pick","nsubj",1
"430","Carrot","prompted","nsubj",1
"431","Carrot","put","nsubj",1
"432","Carrot","radiated","nsubj",1
"433","Carrot","rapped","nsubj",1
"434","Carrot","reappeared","nsubj",1
"435","Carrot","relaxed","nsubj",1
"436","Carrot","replied","nsubj",1
"437","Carrot","saw","nsubj",1
"438","Carrot","say","nsubj",1
"439","Carrot","saying","nsubj",1
"440","Carrot","scrabbled","nsubj",1
"441","Carrot","scratched","nsubj",1
"442","Carrot","seemed","nsubj",1
"443","Carrot","settled","nsubj",1
"444","Carrot","shot","nsubj",1
"445","Carrot","show","nsubj",1
"446","Carrot","shrugged","nsubj",1
"447","Carrot","slapped","nsubj",1
"448","Carrot","slipped","nsubj",1
"449","Carrot","sniffed","nsubj",1
"450","Carrot","spun","nsubj",1
"451","Carrot","squeezed","nsubj",1
"452","Carrot","squinted","nsubj",1
"453","Carrot","stamped","nsubj",1
"454","Carrot","stand","nsubj",1
"455","Carrot","standing","nsubj",1
"456","Carrot","starting","nsubj",1
"457","Carrot","stayed","nsubj",1
"458","Carrot","stop","nsubj",1
"459","Carrot","struck","nsubj",1
"460","Carrot","stuttered","nsubj",1
"461","Carrot","sucked","nsubj",1
"462","Carrot","takes","nsubj",1
"463","Carrot","tended","nsubj",1
"464","Carrot","thinks","nsubj",1
"465","Carrot","throwing","nsubj",1
"466","Carrot","thumbed","nsubj",1
"467","Carrot","thumped","nsubj",1
"468","Carrot","tossed","nsubj",1
"469","Carrot","trying","nsubj",1
"470","Carrot","undid","nsubj",1
"471","Carrot","volunteered","nsubj",1
"472","Carrot","waded","nsubj",1
"473","Carrot","waited","nsubj",1
"474","Carrot","walking","nsubj",1
"475","Carrot","warned","nsubj",1
"476","Carrot","washed","nsubj",1
"477","Carrot","wedged","nsubj",1
"478","Carrot","whispered","nsubj",1
"479","Carrot","writing","nsubj",1
"480","Cuddy","been","nsubj",1
"481","Cuddy","being","nsubj",1
"482","Cuddy","bellowed","nsubj",1
"483","Cuddy","bend","nsubj",1
"484","Cuddy","brushed","nsubj",1
"485","Cuddy","climbed","nsubj",1
"486","Cuddy","come","nsubj",1
"487","Cuddy","conceded","nsubj",1
"488","Cuddy","deduct","nsubj",1
"489","Cuddy","did","nsubj",1
"490","Cuddy","done","nsubj",1
